Unnamed: 0,id,UserId,ProductId,Time,Score,Summary,Text,helpful
AVph0EeEilAPnD_x9myq,AVph0EeEilAPnD_x9myq,JayPeck,53-004755,2016-10-15T00:00:00.000Z,4,Easy to use,Simple to use and setup for a 2 years old toddler.,True
AVqkIhwDv8e3D1O-lebb,AVqkIhwDv8e3D1O-lebb,chyoung,53-004484,2016-12-17T00:00:00.000Z,4,nice and lightweight,Replaced a Nook with the fire tablet. Disappointed that I cannot use Chromecast from it. Did not realize I would be tied to amazon. But it is a good tablet so far,True
AVqkIdZiv8e3D1O-leaJ,AVqkIdZiv8e3D1O-leaJ,Mauro,B018Y224PY,2016-05-14T00:00:00.000Z,5,It's the 4th one I buy.,This tablet has been so good that I bought 4 so far.All my nephews and nieces have one and they are loving it.,True
AVqVGZSEQMlgsOJE6eUc,AVqVGZSEQMlgsOJE6eUc,Jeff,53-004447,2017-08-26T00:00:00.000Z,4,Great product,My fiancée really enjoyes it! I would definitely recommend.,True
AVpgdkC8ilAPnD_xsvyi,AVpgdkC8ilAPnD_xsvyi,Audra,53-004729,2017-08-11T00:00:00.000Z,5,Kids love it,Great price! Kids love it. Lots of space for apps!,True
AVqkIhwDv8e3D1O-lebb,AVqkIhwDv8e3D1O-lebb,shaneb2017,53-004484,2017-01-06T00:00:00.000Z,4,Decent Tablet,"Got this on sale for 69, decent display but you can tell it is not on par with other tablets. It is great if you have prime and use their services. Great speakes, makes a huge difference in Audio quality. Battert life is good, no complaints. I gave it 4 stars due to the play store access. There is a way around it, I do have it on here now but it took some work.",True
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,Cody,B010CEHQTG,2017-09-15T00:00:00.000Z,5,Great item,"Nice to see songs, and many other items. Shows words to music, can watch u tube. And video calls.",True
AWFUWc8THh53nbDRF6YO,AWFUWc8THh53nbDRF6YO,gramma,B010CEHQTG,2018-01-28T00:00:00.000Z,5,Great video calls,"Love the ability to video chat with grand kids, Enjoying the music everyday.",True
AVqVGWLKnnc1JgDc3jF1,AVqVGWLKnnc1JgDc3jF1,mimi,53-004683,2017-05-01T00:00:00.000Z,5,Best Tablet for Toddlers,Easy to use great cover and a lot of options for app games. My daughter loves it.,True
AVqkIhwDv8e3D1O-lebb,AVqkIhwDv8e3D1O-lebb,Terry,53-004484,2016-12-07T00:00:00.000Z,5,Great tablet,"I love this tablet! love my ipad , too, but this is much lighter weight and easier to slip in my purse. I went for a 32g but there were none in stock, so I got the 16 and a memory card that I will probably never need!",True
AVqVGZN9QMlgsOJE6eUZ,AVqVGZN9QMlgsOJE6eUZ,Chris,B00REQKWGA,2016-05-10T00:00:00.000Z,5,The definitive Kindle.,"'ve owned the Kindle Keyboard, 2nd generation Paperwhite and now the Oasis. I love the Oasis very much. The ergonomic design is wonderful and makes it a breeze to hold. It is so light -- that is the biggest killer feature of the Oasis. The 10 LEDs look fantastic and I love the return of page buttons. I've never had one where the screen is flush with the bezel so this is great. All in all, this is easily the best Kindle ever made and even though it's a bit spendy, it will be the one future Kindles are measured against.",True
AVpgdkC8ilAPnD_xsvyi,AVpgdkC8ilAPnD_xsvyi,Erin,53-004729,2017-01-09T00:00:00.000Z,4,nice,got this as a gift for my boyfriend he loves that it is very convenient and easy to use.,True
AVph0EeEilAPnD_x9myq,AVph0EeEilAPnD_x9myq,Ledge,53-004755,2017-01-26T00:00:00.000Z,4,Well priced tablet for kids,The tablet works well and the silicon pumper cover is great for gripping.,True
AVqkIdZiv8e3D1O-leaJ,AVqkIdZiv8e3D1O-leaJ,dmod,B018Y224PY,2017-03-20T00:00:00.000Z,5,Wonderful colors,I love the touch screen aspect still love the original.,True
AVqkIhwDv8e3D1O-lebb,AVqkIhwDv8e3D1O-lebb,alderave1,53-004484,2017-01-31T00:00:00.000Z,4,Great tablet,I bought this for my wife she loves how easy it is to use and small enough to take on trips.,True
AVpjEN4jLJeJML43rpUe,AVpjEN4jLJeJML43rpUe,Tablet,B018Y225IA,2017-06-16T00:00:00.000Z,5,Great tablet for kids,This is the 4th tablet I have bought for my 10-year-old son over the past few years. He is just rough with the. I made sure to purchase the rubber cover and I am set. There is plenty of space on the tablet for him to keep the fun apps that he likes. He is managing well with it. Glad I purchased it.,True
AWMjT0WguC1rwyj_rFh3,AWMjT0WguC1rwyj_rFh3,EDNA,B06XB29FPF,2017-12-12T00:00:00.000Z,5,EXCELLENT !!!,We had heard a lot about the Echo Plus and had seen the commercials. We have not been disappointed as Alexa is a welcomed family member already !!! We Love Her !!!,True
